condition_source,closed_loop_candidate,step,phase,conditions_passed,conditions_total,success,note
validated_cached_H50_source_episode,none,1,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,2,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,3,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,4,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,5,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,6,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,7,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,8,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,9,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,10,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,11,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,12,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,13,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,14,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,15,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,16,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,17,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,18,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,19,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,20,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,21,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,22,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,23,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,24,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,25,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,26,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,27,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,28,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,29,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,30,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,31,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,32,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,33,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,34,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,35,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
validated_cached_H50_source_episode,none,36,policy,2,4,False,trained closed-loop execution was not authorized because the held-out inference gate failed
