boundary_action,model,action_index_in_first10,joint,delta_rad,predicted_action_rad
5,baseline,0,0,-0.00840267539024353,-0.04993081092834473
5,baseline,0,1,0.03415477275848389,-1.6487212181091309
5,baseline,0,2,-0.09916806221008301,1.384307861328125
5,baseline,0,3,-0.042826175689697266,1.1585475206375122
5,baseline,0,4,-0.10501673817634583,-0.479255348443985
5,baseline,0,5,-0.01002831757068634,-0.16392122209072113
5,baseline,0,6,0.10960772633552551,0.045993953943252563
5,baseline,0,7,0.13212335109710693,-1.545588731765747
5,baseline,0,8,-0.19119596481323242,1.320181131362915
5,baseline,0,9,-0.1077423095703125,1.0755882263183594
5,baseline,0,10,-0.03916345536708832,0.20946548879146576
5,baseline,0,11,0.01352640986442566,-0.13568803668022156
5,baseline,1,0,-0.057377517223358154,-0.08956083655357361
5,baseline,1,1,0.017126798629760742,-1.6603045463562012
5,baseline,1,2,-0.046675801277160645,1.4301217794418335
5,baseline,1,3,-0.02631986141204834,1.1662298440933228
5,baseline,1,4,-0.0322299599647522,-0.4416089355945587
5,baseline,1,5,-0.008124038577079773,-0.16252218186855316
5,baseline,1,6,0.07105715572834015,0.003218322992324829
5,baseline,1,7,0.150177001953125,-1.5591375827789307
5,baseline,1,8,-0.11647796630859375,1.3899493217468262
5,baseline,1,9,-0.11541879177093506,1.081453561782837
5,baseline,1,10,-0.017035484313964844,0.24141672253608704
5,baseline,1,11,0.005740657448768616,-0.14221610128879547
5,baseline,2,0,-0.024215757846832275,-0.08694308996200562
5,baseline,2,1,0.0168001651763916,-1.6405246257781982
5,baseline,2,2,-0.0707467794418335,1.3956801891326904
5,baseline,2,3,-0.0039081573486328125,1.1736092567443848
5,baseline,2,4,-0.032041847705841064,-0.5196311473846436
5,baseline,2,5,-0.009508267045021057,-0.16024386882781982
5,baseline,2,6,-0.005705833435058594,-0.020654380321502686
5,baseline,2,7,-0.026662707328796387,-1.700453519821167
5,baseline,2,8,-0.06312942504882812,1.4105653762817383
5,baseline,2,9,-0.01872885227203369,1.1716232299804688
5,baseline,2,10,-0.002116590738296509,0.30448994040489197
5,baseline,2,11,0.001594454050064087,-0.14336827397346497
5,baseline,3,0,-0.05144187808036804,-0.08391594886779785
5,baseline,3,1,0.02769172191619873,-1.6219135522842407
5,baseline,3,2,-0.049353599548339844,1.4133992195129395
5,baseline,3,3,-0.03160679340362549,1.1482725143432617
5,baseline,3,4,-0.055163025856018066,-0.5165587663650513
5,baseline,3,5,-0.007832705974578857,-0.15971311926841736
5,baseline,3,6,0.0011204183101654053,-0.008433431386947632
5,baseline,3,7,-0.008364558219909668,-1.6724433898925781
5,baseline,3,8,-0.07158052921295166,1.4190574884414673
5,baseline,3,9,0.007902145385742188,1.1821686029434204
5,baseline,3,10,0.0267103910446167,0.3231075406074524
5,baseline,3,11,0.006836891174316406,-0.1427655816078186
5,baseline,4,0,-0.06838387250900269,-0.0945202112197876
5,baseline,4,1,0.033547282218933105,-1.6399872303009033
5,baseline,4,2,-0.03712177276611328,1.4434762001037598
5,baseline,4,3,-0.011235713958740234,1.1777656078338623
5,baseline,4,4,-0.06526580452919006,-0.5026987791061401
5,baseline,4,5,-0.003483906388282776,-0.15543444454669952
5,baseline,4,6,0.02619984745979309,0.005941212177276611
5,baseline,4,7,0.019508004188537598,-1.6581308841705322
5,baseline,4,8,-0.053574323654174805,1.4495244026184082
5,baseline,4,9,-0.0008668899536132812,1.1802713871002197
5,baseline,4,10,0.036406517028808594,0.3269282281398773
5,baseline,4,11,0.002274155616760254,-0.14360041916370392
5,baseline,5,0,-0.054643601179122925,-0.07060462236404419
5,baseline,5,1,0.03634452819824219,-1.6394000053405762
5,baseline,5,2,-0.002150297164916992,1.4709267616271973
5,baseline,5,3,-0.01955556869506836,1.172985315322876
5,baseline,5,4,0.0016941428184509277,-0.44720929861068726
5,baseline,5,5,-0.009997710585594177,-0.1601211428642273
5,baseline,5,6,0.03191035985946655,0.007331818342208862
5,baseline,5,7,0.052144646644592285,-1.638160228729248
5,baseline,5,8,-0.05353522300720215,1.4562149047851562
5,baseline,5,9,0.0025010108947753906,1.1890236139297485
5,baseline,5,10,0.03287360072135925,0.32348164916038513
5,baseline,5,11,-0.0007541924715042114,-0.14805452525615692
5,baseline,6,0,-0.06368216872215271,-0.06874850392341614
5,baseline,6,1,0.021436214447021484,-1.6490507125854492
5,baseline,6,2,-0.0023099184036254883,1.4743609428405762
5,baseline,6,3,-0.024292826652526855,1.1649701595306396
5,baseline,6,4,-0.049043118953704834,-0.48923417925834656
5,baseline,6,5,-0.00526842474937439,-0.15857575833797455
5,baseline,6,6,0.03911510109901428,0.004720896482467651
5,baseline,6,7,0.0024261474609375,-1.6800086498260498
5,baseline,6,8,-0.05248212814331055,1.4481337070465088
5,baseline,6,9,0.025280356407165527,1.2094115018844604
5,baseline,6,10,0.04676756262779236,0.33729442954063416
5,baseline,6,11,-0.0018087327480316162,-0.1463552862405777
5,baseline,7,0,-0.1129617989063263,-0.11242249608039856
5,baseline,7,1,0.19528818130493164,-1.4783849716186523
5,baseline,7,2,-0.17818379402160645,1.2989869117736816
5,baseline,7,3,-0.0520097017288208,1.134253740310669
5,baseline,7,4,-0.27186819911003113,-0.7018419504165649
5,baseline,7,5,0.004418700933456421,-0.14756087958812714
5,baseline,7,6,0.1360432207584381,0.1065593957901001
5,baseline,7,7,0.20333552360534668,-1.4810748100280762
5,baseline,7,8,-0.26644110679626465,1.2416400909423828
5,baseline,7,9,0.014109969139099121,1.1955348253250122
5,baseline,7,10,0.166995108127594,0.4627934694290161
5,baseline,7,11,-9.509921073913574e-05,-0.14627303183078766
5,baseline,8,0,0.010138273239135742,0.010499954223632812
5,baseline,8,1,0.3187042474746704,-1.3591055870056152
5,baseline,8,2,-0.2512388229370117,1.223677158355713
5,baseline,8,3,-0.03718149662017822,1.14791738986969
5,baseline,8,4,-0.261711984872818,-0.694733738899231
5,baseline,8,5,0.008670613169670105,-0.1466386318206787
5,baseline,8,6,0.10226497054100037,0.07798868417739868
5,baseline,8,7,0.31434619426727295,-1.3563462495803833
5,baseline,8,8,-0.32939600944519043,1.1907882690429688
5,baseline,8,9,-0.022139549255371094,1.1510218381881714
5,baseline,8,10,0.18481871485710144,0.47552192211151123
5,baseline,8,11,0.009780839085578918,-0.14062313735485077
5,baseline,9,0,0.025993168354034424,0.02533257007598877
5,baseline,9,1,0.19943714141845703,-1.4887630939483643
5,baseline,9,2,-0.17606282234191895,1.2998921871185303
5,baseline,9,3,-0.025592684745788574,1.1559032201766968
5,baseline,9,4,-0.20457994937896729,-0.6230741739273071
5,baseline,9,5,0.006432622671127319,-0.14551948010921478
5,baseline,9,6,0.0662374496459961,0.047930628061294556
5,baseline,9,7,0.2801322937011719,-1.3922494649887085
5,baseline,9,8,-0.31611204147338867,1.2144196033477783
5,baseline,9,9,0.006177425384521484,1.1606155633926392
5,baseline,9,10,0.15484443306922913,0.4513379633426666
5,baseline,9,11,0.012287601828575134,-0.13782712817192078
5,trained,0,0,0.004842787981033325,-0.03668534755706787
5,trained,0,1,-0.021289467811584473,-1.7041654586791992
5,trained,0,2,-0.053835153579711914,1.429640769958496
5,trained,0,3,0.03802919387817383,1.2394028902053833
5,trained,0,4,-0.0905180275440216,-0.46475663781166077
5,trained,0,5,0.002461478114128113,-0.15143142640590668
5,trained,0,6,-0.01837809383869171,-0.08199186623096466
5,trained,0,7,-0.027493953704833984,-1.705206036567688
5,trained,0,8,-0.06215059757232666,1.4492264986038208
5,trained,0,9,0.02501702308654785,1.2083475589752197
5,trained,0,10,0.0014824867248535156,0.2501114308834076
5,trained,0,11,0.0043465495109558105,-0.1448678970336914
5,trained,1,0,-0.03224107623100281,-0.06442439556121826
5,trained,1,1,-0.005852341651916504,-1.6832836866378784
5,trained,1,2,-0.03463029861450195,1.4421672821044922
5,trained,1,3,0.042418718338012695,1.2349684238433838
5,trained,1,4,-0.023733139038085938,-0.43311211466789246
5,trained,1,5,0.005015179514884949,-0.14938296377658844
5,trained,1,6,-0.006351202726364136,-0.07419003546237946
5,trained,1,7,0.038336873054504395,-1.6709777116775513
5,trained,1,8,-0.036690473556518555,1.4697368144989014
5,trained,1,9,-0.005436897277832031,1.19143545627594
5,trained,1,10,0.018463999032974243,0.2769162058830261
5,trained,1,11,-0.006333798170089722,-0.1542905569076538
5,trained,2,0,0.011477142572402954,-0.051250189542770386
5,trained,2,1,-0.03748190402984619,-1.694806694984436
5,trained,2,2,-0.051193952560424805,1.4152330160140991
5,trained,2,3,0.048996686935424805,1.2265141010284424
5,trained,2,4,-0.01132771372795105,-0.49891701340675354
5,trained,2,5,-0.001369863748550415,-0.15210546553134918
5,trained,2,6,-0.0616205632686615,-0.07656911015510559
5,trained,2,7,-0.08012044429779053,-1.7539112567901611
5,trained,2,8,0.01569652557373047,1.4893913269042969
5,trained,2,9,0.0297318696975708,1.2200839519500732
5,trained,2,10,-0.010237306356430054,0.2963692247867584
5,trained,2,11,-0.005036100745201111,-0.14999882876873016
5,trained,3,0,-0.023483097553253174,-0.05595716834068298
5,trained,3,1,-0.030108928680419922,-1.6797142028808594
5,trained,3,2,-0.020232081413269043,1.4425207376480103
5,trained,3,3,0.030504822731018066,1.2103841304779053
5,trained,3,4,-0.01612725853919983,-0.47752299904823303
5,trained,3,5,0.0017234385013580322,-0.15015697479248047
5,trained,3,6,-0.04902547597885132,-0.058579325675964355
5,trained,3,7,-0.03410649299621582,-1.6981853246688843
5,trained,3,8,-0.011066198348999023,1.47957181930542
5,trained,3,9,0.03596365451812744,1.2102301120758057
5,trained,3,10,0.0035080313682556152,0.2999051809310913
5,trained,3,11,0.0019421279430389404,-0.14766034483909607
5,trained,4,0,-0.03452017903327942,-0.06065651774406433
5,trained,4,1,-0.026769161224365234,-1.7003036737442017
5,trained,4,2,-0.01554250717163086,1.4650554656982422
5,trained,4,3,0.04042994976043701,1.2294312715530396
5,trained,4,4,-0.025312364101409912,-0.46274533867836
5,trained,4,5,-0.003182336688041687,-0.15513287484645844
5,trained,4,6,-0.02581995725631714,-0.04607859253883362
5,trained,4,7,-0.02751171588897705,-1.7051506042480469
5,trained,4,8,0.0010339021682739258,1.504132628440857
5,trained,4,9,0.019191741943359375,1.2003300189971924
5,trained,4,10,0.010562777519226074,0.3010844886302948
5,trained,4,11,-0.007330089807510376,-0.15320466458797455
5,trained,5,0,-0.017298191785812378,-0.03325921297073364
5,trained,5,1,-0.013773679733276367,-1.6895182132720947
5,trained,5,2,-0.0028638839721679688,1.4702131748199463
5,trained,5,3,0.023947834968566895,1.2164887189865112
5,trained,5,4,0.010733723640441895,-0.4381697177886963
5,trained,5,5,0.0015582442283630371,-0.14856518805027008
5,trained,5,6,-0.03126746416091919,-0.05584600567817688
5,trained,5,7,0.006407737731933594,-1.6838971376419067
5,trained,5,8,-0.019917011260986328,1.489833116531372
5,trained,5,9,0.023014545440673828,1.209537148475647
5,trained,5,10,0.014309614896774292,0.30491766333580017
