pose,garment,local_demo,seed,horizon,official_ever_success,terminal_success,first_success_action,first_approach_proxy_action_le_5cm,first_near_proxy_action_le_3cm,minimum_gripper_origin_distance_m,best_policy_conditions,terminal_conditions,conditions_total,maximum_particle_lift_m,terminal_mean_particle_displacement_m,replans,inference_seconds,wall_seconds,stage,action_divergence_vs_h50_action,action_l2_at_divergence_rad,first_boundary_action,boundary_jump_mean_rad,first_camera_change_action,native_contact_available,grasp_label
0,Pant_Short_Seen_0,0,200,50,False,False,,,,"{""left"": 0.05187031999230385, ""right"": 0.061081353574991226}",3,2,4,0.13662099838256836,0.07449650764465332,12,6.112054871628061,324.930514336098,F_partial_condition_regression,,,51,0.24737803367051212,51,False,unknown/insufficient evidence
0,Pant_Short_Seen_0,0,200,10,False,False,,,,"{""left"": 0.10732089728116989, ""right"": 0.06595127284526825}",2,1,4,0.12353408336639404,0.028400003910064697,60,19.685487058945,314.4497550036758,F_partial_condition_regression,11,0.9272681654911087,11,0.2467725493518983,11,False,unknown/insufficient evidence
0,Pant_Short_Seen_0,0,200,5,False,False,,401,,"{""left"": 0.04977697506546974, ""right"": 0.05722593516111374}",3,2,4,0.12106448411941528,0.01908266358077526,120,43.477206057170406,331.0190529299434,F_partial_condition_regression,6,0.8206232606334223,6,0.2771833512086828,6,False,unknown/insufficient evidence
1,Pant_Short_Seen_0,1,201,50,True,True,595,,,"{""left"": 0.05281967669725418, ""right"": 0.05609594285488129}",4,4,4,0.13151615858078003,0.04817843809723854,12,4.907509384909645,302.46587387495674,G_official_task_success,,,51,0.3314270532943986,51,False,unknown/insufficient evidence
1,Pant_Short_Seen_0,1,201,10,False,False,,,,"{""left"": 0.06936769932508469, ""right"": 0.05265197157859802}",3,3,4,0.12507563829421997,0.027480140328407288,60,23.36506870551966,309.8272355450317,A_never_reached_cloth_proxy,11,0.5080328237486019,11,0.21866711838391878,11,False,unknown/insufficient evidence
1,Pant_Short_Seen_0,1,201,5,False,False,,286,,"{""left"": 0.031546253710985184, ""right"": 0.06575895845890045}",3,2,4,0.11831909418106079,0.0727572962641716,120,42.41450319089927,328.23761617415585,F_partial_condition_regression,6,0.8181864527913519,6,0.23160313821139455,6,False,unknown/insufficient evidence
2,Pant_Short_Seen_3,0,202,50,False,False,,,,"{""left"": 0.13345839083194733, ""right"": 0.07123416662216187}",2,2,4,0.08402454853057861,0.004061789717525244,12,4.836366188479587,286.14330019499175,A_never_reached_cloth_proxy,,,51,0.18991420180960136,51,False,unknown/insufficient evidence
2,Pant_Short_Seen_3,0,202,10,False,False,,368,,"{""left"": 0.04884298890829086, ""right"": 0.051091939210891724}",3,1,4,0.14027291536331177,0.03345789760351181,60,23.330995144322515,307.55399490194395,F_partial_condition_regression,11,1.0716551003550154,11,0.27423574851225996,11,False,unknown/insufficient evidence
2,Pant_Short_Seen_3,0,202,5,False,False,,89,,"{""left"": 0.030969163402915, ""right"": 0.06737865507602692}",3,3,4,0.15013521909713745,0.06647496670484543,120,42.8914438104257,323.268157877028,B_reached_cloth_no_verified_contact,6,1.1411739159857968,6,0.2555503329309095,6,False,unknown/insufficient evidence
3,Pant_Short_Seen_3,1,203,50,True,True,120,,,"{""left"": 0.06238293647766113, ""right"": 0.05814439430832863}",4,4,4,0.11683279275894165,0.05044426769018173,12,4.847145964857191,285.2908341549337,G_official_task_success,,,51,0.14924393932927738,51,False,unknown/insufficient evidence
3,Pant_Short_Seen_3,1,203,10,False,False,,,,"{""left"": 0.06323503702878952, ""right"": 0.06814415007829666}",3,3,4,0.0939561128616333,0.01655961200594902,60,23.198286645812914,303.2245101761073,A_never_reached_cloth_proxy,11,0.4832359901518135,11,0.21439133477160485,11,False,unknown/insufficient evidence
3,Pant_Short_Seen_3,1,203,5,False,False,,599,,"{""left"": 0.04928557947278023, ""right"": 0.05252956226468086}",3,1,4,0.10429471731185913,0.05040347948670387,120,42.91220805118792,326.0023235878907,F_partial_condition_regression,6,0.46024013747920683,6,0.2701236343308657,6,False,unknown/insufficient evidence
4,Pant_Short_Seen_7,0,204,50,False,False,,92,,"{""left"": 0.07399400323629379, ""right"": 0.04748211055994034}",3,1,4,0.10242807865142822,0.025396952405571938,12,4.880713742924854,289.4067889379803,F_partial_condition_regression,,,51,0.29595401273532346,51,False,unknown/insufficient evidence
4,Pant_Short_Seen_7,0,204,10,False,False,,,,"{""left"": 0.14916856586933136, ""right"": 0.06571241468191147}",2,2,4,0.011616766452789307,0.004041398409754038,60,23.25084953987971,307.9389427350834,A_never_reached_cloth_proxy,11,0.30070204553486896,11,0.23106124040560197,11,False,unknown/insufficient evidence
4,Pant_Short_Seen_7,0,204,5,False,False,,317,,"{""left"": 0.05329788476228714, ""right"": 0.04641486331820488}",3,2,4,0.108367919921875,0.01605556532740593,120,42.901157261105254,331.0374343099538,F_partial_condition_regression,6,0.30918065904675107,6,0.27890700571426824,6,False,unknown/insufficient evidence
5,Pant_Short_Seen_7,1,205,50,True,True,395,,,"{""left"": 0.05539456009864807, ""right"": 0.054558031260967255}",4,4,4,0.12158089876174927,0.061321232467889786,12,4.854617172386497,295.18986568506807,G_official_task_success,,,51,0.37669797377152875,51,False,unknown/insufficient evidence
