checkpoint,boundary_action,action_index,joint,delta_from_cached_h50_rad,abs_delta_rad
step_000025,5,1,0,0.08025066554546356,0.08025066554546356
step_000025,5,1,1,-0.0706561803817749,0.0706561803817749
step_000025,5,1,2,-0.024435758590698242,0.024435758590698242
step_000025,5,1,3,-0.021538734436035156,0.021538734436035156
step_000025,5,1,4,-0.08598309755325317,0.08598309755325317
step_000025,5,1,5,-0.0009945482015609741,0.0009945482015609741
step_000025,5,1,6,0.08520609140396118,0.08520609140396118
step_000025,5,1,7,-0.036805033683776855,0.036805033683776855
step_000025,5,1,8,-0.13764429092407227,0.13764429092407227
step_000025,5,1,9,-0.044409990310668945,0.044409990310668945
step_000025,5,1,10,-0.04525423049926758,0.04525423049926758
step_000025,5,1,11,0.009843483567237854,0.009843483567237854
step_000025,5,2,0,0.03244662284851074,0.03244662284851074
step_000025,5,2,1,-0.06381285190582275,0.06381285190582275
step_000025,5,2,2,0.016723155975341797,0.016723155975341797
step_000025,5,2,3,-0.009511232376098633,0.009511232376098633
step_000025,5,2,4,-0.013746470212936401,0.013746470212936401
step_000025,5,2,5,0.00037795305252075195,0.00037795305252075195
step_000025,5,2,6,0.03808195888996124,0.03808195888996124
step_000025,5,2,7,0.006813168525695801,0.006813168525695801
step_000025,5,2,8,-0.055072665214538574,0.055072665214538574
step_000025,5,2,9,-0.05938160419464111,0.05938160419464111
step_000025,5,2,10,-0.01737627387046814,0.01737627387046814
step_000025,5,2,11,0.000197678804397583,0.000197678804397583
step_000025,5,3,0,0.07039818167686462,0.07039818167686462
step_000025,5,3,1,-0.09108757972717285,0.09108757972717285
step_000025,5,3,2,0.004828333854675293,0.004828333854675293
step_000025,5,3,3,0.01133418083190918,0.01133418083190918
step_000025,5,3,4,-0.008587419986724854,0.008587419986724854
step_000025,5,3,5,0.0001326054334640503,0.0001326054334640503
step_000025,5,3,6,-0.03328520059585571,0.03328520059585571
step_000025,5,3,7,-0.1594562530517578,0.1594562530517578
step_000025,5,3,8,-0.004642009735107422,0.004642009735107422
step_000025,5,3,9,0.027163147926330566,0.027163147926330566
step_000025,5,3,10,-0.002063453197479248,0.002063453197479248
step_000025,5,3,11,-0.004489585757255554,0.004489585757255554
step_000025,5,4,0,0.04034566879272461,0.04034566879272461
step_000025,5,4,1,-0.08568334579467773,0.08568334579467773
step_000025,5,4,2,0.035765647888183594,0.035765647888183594
step_000025,5,4,3,-0.010466456413269043,0.010466456413269043
step_000025,5,4,4,-0.025822550058364868,0.025822550058364868
step_000025,5,4,5,0.0012370198965072632,0.0012370198965072632
step_000025,5,4,6,-0.022022247314453125,0.022022247314453125
step_000025,5,4,7,-0.13017761707305908,0.13017761707305908
step_000025,5,4,8,-0.006613731384277344,0.006613731384277344
step_000025,5,4,9,0.05096995830535889,0.05096995830535889
step_000025,5,4,10,0.02164822816848755,0.02164822816848755
step_000025,5,4,11,0.0032113492488861084,0.0032113492488861084
step_000025,5,5,0,0.02872242033481598,0.02872242033481598
step_000025,5,5,1,-0.06976687908172607,0.06976687908172607
step_000025,5,5,2,0.027854204177856445,0.027854204177856445
step_000025,5,5,3,0.004063606262207031,0.004063606262207031
step_000025,5,5,4,-0.03844726085662842,0.03844726085662842
step_000025,5,5,5,0.0014259666204452515,0.0014259666204452515
step_000025,5,5,6,0.001081615686416626,0.001081615686416626
step_000025,5,5,7,-0.09557688236236572,0.09557688236236572
step_000025,5,5,8,0.01093745231628418,0.01093745231628418
step_000025,5,5,9,0.04123127460479736,0.04123127460479736
step_000025,5,5,10,0.036350637674331665,0.036350637674331665
step_000025,5,5,11,-0.004769712686538696,0.004769712686538696
step_000025,5,6,0,0.04145000874996185,0.04145000874996185
step_000025,5,6,1,-0.06294965744018555,0.06294965744018555
step_000025,5,6,2,0.05322122573852539,0.05322122573852539
step_000025,5,6,3,-0.007316112518310547,0.007316112518310547
step_000025,5,6,4,0.014911085367202759,0.014911085367202759
step_000025,5,6,5,-0.001823529601097107,0.001823529601097107
step_000025,5,6,6,0.007287502288818359,0.007287502288818359
step_000025,5,6,7,-0.04575824737548828,0.04575824737548828
step_000025,5,6,8,-0.010889530181884766,0.010889530181884766
step_000025,5,6,9,0.04786252975463867,0.04786252975463867
step_000025,5,6,10,0.03768700361251831,0.03768700361251831
step_000025,5,6,11,-0.0024607330560684204,0.0024607330560684204
step_000025,5,7,0,0.03648132085800171,0.03648132085800171
step_000025,5,7,1,-0.07755899429321289,0.07755899429321289
step_000025,5,7,2,0.052599310874938965,0.052599310874938965
step_000025,5,7,3,-0.011644840240478516,0.011644840240478516
step_000025,5,7,4,-0.03760647773742676,0.03760647773742676
step_000025,5,7,5,0.0037123560905456543,0.0037123560905456543
step_000025,5,7,6,0.017174720764160156,0.017174720764160156
step_000025,5,7,7,-0.10535323619842529,0.10535323619842529
step_000025,5,7,8,-0.0262143611907959,0.0262143611907959
step_000025,5,7,9,0.07282519340515137,0.07282519340515137
step_000025,5,7,10,0.05795148015022278,0.05795148015022278
step_000025,5,7,11,0.0019808709621429443,0.0019808709621429443
step_000025,5,8,0,-0.009869575500488281,0.009869575500488281
step_000025,5,8,1,-0.037724971771240234,0.037724971771240234
step_000025,5,8,2,0.0002472400665283203,0.0002472400665283203
step_000025,5,8,3,-0.023151755332946777,0.023151755332946777
step_000025,5,8,4,-0.17296335101127625,0.17296335101127625
step_000025,5,8,5,0.0041964054107666016,0.0041964054107666016
step_000025,5,8,6,0.11584150791168213,0.11584150791168213
step_000025,5,8,7,0.05573165416717529,0.05573165416717529
step_000025,5,8,8,-0.1789546012878418,0.1789546012878418
step_000025,5,8,9,0.07381606101989746,0.07381606101989746
step_000025,5,8,10,0.1579902172088623,0.1579902172088623
