boundary_action,probe,local_action,global_action,action_l2_rad,per_joint_rms_rad
5,current-all,1,6,0.32153708589087193,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,current-all,2,7,0.24975121794417995,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,current-all,3,8,0.1099667634864802,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,current-all,4,9,0.12637167986311743,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,current-all,5,10,0.12979354546008506,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,current-all,6,11,0.11174779232786473,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,current-all,7,12,0.12109176197055849,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,current-all,8,13,0.5641051150071131,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,current-all,9,14,0.698043051141928,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,current-all,10,15,0.5665267196646995,"[0.05643752950366945, 0.1359778854825754, 0.12112404100965114, 0.030630606835859164, 0.14389686734646664, 0.007708805266096556, 0.07326988534314303, 0.1620274844568487, 0.1863175056969265, 0.05168813307037896, 0.0965180521360746, 0.00721716978042181]"
5,old-all-images-current-state,1,6,0.23309380411121564,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,old-all-images-current-state,2,7,0.18152100255942757,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,old-all-images-current-state,3,8,0.11440897445528317,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,old-all-images-current-state,4,9,0.10461311517786274,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,old-all-images-current-state,5,10,0.11010824200000963,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,old-all-images-current-state,6,11,0.07251250458746325,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,old-all-images-current-state,7,12,0.10293177029733085,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,old-all-images-current-state,8,13,0.3929633409461257,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,old-all-images-current-state,9,14,0.4534381916224245,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,old-all-images-current-state,10,15,0.3288305129560691,"[0.04690950985682206, 0.07321390879481712, 0.0747732633103763, 0.013547293329658662, 0.15104095504913614, 0.009184996108423906, 0.04217409222960695, 0.0873580661384196, 0.09922642836256475, 0.041633817482497934, 0.05906305001787839, 0.005830302733750443]"
5,current-images-old-state,1,6,0.20971565706035178,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,current-images-old-state,2,7,0.17716330632757038,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,current-images-old-state,3,8,0.13344416006698928,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,current-images-old-state,4,9,0.10795968902136233,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,current-images-old-state,5,10,0.09660582411182683,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,current-images-old-state,6,11,0.12899466025309345,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,current-images-old-state,7,12,0.10502906973259499,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,current-images-old-state,8,13,0.13872888779685408,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,current-images-old-state,9,14,0.12285025616167768,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,current-images-old-state,10,15,0.10319204001026988,"[0.050546775166983714, 0.023945622320536267, 0.03596209902655631, 0.011106332350445417, 0.06621733371375867, 0.0034206455156849773, 0.04771424486301223, 0.04062802804008087, 0.057836783880349824, 0.032955266441134605, 0.03663883814764962, 0.006304061180829757]"
5,old-top-only,1,6,0.3220995844833517,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
5,old-top-only,2,7,0.2506369614444769,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
5,old-top-only,3,8,0.11048969555005368,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
5,old-top-only,4,9,0.12776759852999992,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
5,old-top-only,5,10,0.1296549393344559,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
5,old-top-only,6,11,0.11219919990299729,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
5,old-top-only,7,12,0.12076688452785343,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
5,old-top-only,8,13,0.5707971210336252,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
5,old-top-only,9,14,0.7058294933734727,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
5,old-top-only,10,15,0.5747614396797925,"[0.05636557678107915, 0.13841918058110012, 0.12339773802518232, 0.030732832836599274, 0.1450737637777051, 0.007882738822308255, 0.07353228470354511, 0.16377161108218663, 0.18795727153697825, 0.05168912502211385, 0.09718061849255373, 0.007413347484732035]"
