boundary_action,probe,joint_index,first10_per_joint_rms_rad
5,current-all,0,0.05643752950366945
5,current-all,1,0.1359778854825754
5,current-all,2,0.12112404100965114
5,current-all,3,0.030630606835859164
5,current-all,4,0.14389686734646664
5,current-all,5,0.007708805266096556
5,current-all,6,0.07326988534314303
5,current-all,7,0.1620274844568487
5,current-all,8,0.1863175056969265
5,current-all,9,0.05168813307037896
5,current-all,10,0.0965180521360746
5,current-all,11,0.00721716978042181
5,old-all-images-current-state,0,0.04690950985682206
5,old-all-images-current-state,1,0.07321390879481712
5,old-all-images-current-state,2,0.0747732633103763
5,old-all-images-current-state,3,0.013547293329658662
5,old-all-images-current-state,4,0.15104095504913614
5,old-all-images-current-state,5,0.009184996108423906
5,old-all-images-current-state,6,0.04217409222960695
5,old-all-images-current-state,7,0.0873580661384196
5,old-all-images-current-state,8,0.09922642836256475
5,old-all-images-current-state,9,0.041633817482497934
5,old-all-images-current-state,10,0.05906305001787839
5,old-all-images-current-state,11,0.005830302733750443
5,current-images-old-state,0,0.050546775166983714
5,current-images-old-state,1,0.023945622320536267
5,current-images-old-state,2,0.03596209902655631
5,current-images-old-state,3,0.011106332350445417
5,current-images-old-state,4,0.06621733371375867
5,current-images-old-state,5,0.0034206455156849773
5,current-images-old-state,6,0.04771424486301223
5,current-images-old-state,7,0.04062802804008087
5,current-images-old-state,8,0.057836783880349824
5,current-images-old-state,9,0.032955266441134605
5,current-images-old-state,10,0.03663883814764962
5,current-images-old-state,11,0.006304061180829757
5,old-top-only,0,0.05636557678107915
5,old-top-only,1,0.13841918058110012
5,old-top-only,2,0.12339773802518232
5,old-top-only,3,0.030732832836599274
5,old-top-only,4,0.1450737637777051
5,old-top-only,5,0.007882738822308255
5,old-top-only,6,0.07353228470354511
5,old-top-only,7,0.16377161108218663
5,old-top-only,8,0.18795727153697825
5,old-top-only,9,0.05168912502211385
5,old-top-only,10,0.09718061849255373
5,old-top-only,11,0.007413347484732035
5,old-left-only,0,0.05501737728231883
5,old-left-only,1,0.08146015427197151
5,old-left-only,2,0.07698157341968594
5,old-left-only,3,0.013679944045115668
5,old-left-only,4,0.13834929293255488
5,old-left-only,5,0.00975734378745389
5,old-left-only,6,0.04550109788699521
5,old-left-only,7,0.09529888394161737
5,old-left-only,8,0.11970490174625828
5,old-left-only,9,0.041998070582264124
5,old-left-only,10,0.06492684425577024
5,old-left-only,11,0.005443063832683072
5,old-right-only,0,0.04902388180488062
5,old-right-only,1,0.11472136363697279
5,old-right-only,2,0.11006982488690902
5,old-right-only,3,0.026918358886351672
5,old-right-only,4,0.1539982389919534
5,old-right-only,5,0.007857746658912165
5,old-right-only,6,0.057131404258850486
5,old-right-only,7,0.13869961313718301
5,old-right-only,8,0.14920484308939408
5,old-right-only,9,0.04812196941460646
5,old-right-only,10,0.08708665999626775
5,old-right-only,11,0.007055868054678458
5,old-both-wrists,0,0.04659325226072635
5,old-both-wrists,1,0.07307896964049755
5,old-both-wrists,2,0.07495337017156785
5,old-both-wrists,3,0.013540271921091931
5,old-both-wrists,4,0.1506630391964128
5,old-both-wrists,5,0.009192047571018326
5,old-both-wrists,6,0.04171231044504424
5,old-both-wrists,7,0.0881481108064823
5,old-both-wrists,8,0.09953095673907304
5,old-both-wrists,9,0.04212872357258907
5,old-both-wrists,10,0.05895868419712692
5,old-both-wrists,11,0.005866857029043641
10,current-all,0,0.07072139360456245
10,current-all,1,0.7362962654845548
10,current-all,2,0.3964369654020564
10,current-all,3,0.09626327072579889
10,current-all,4,0.2295245056043645
10,current-all,5,0.4348734264115266
10,current-all,6,0.09782130078413202
10,current-all,7,0.1844887236644999
10,current-all,8,0.20292572089264985
10,current-all,9,0.06787527994323964
10,current-all,10,0.0618302773128215
10,current-all,11,0.008026449317030148
10,old-all-images-current-state,0,0.13695511968779747
10,old-all-images-current-state,1,0.4155155774911308
10,old-all-images-current-state,2,0.20234383996077465
10,old-all-images-current-state,3,0.0540299880365561
10,old-all-images-current-state,4,0.2726228081299075
10,old-all-images-current-state,5,0.3944216496149819
10,old-all-images-current-state,6,0.028028989881988205
10,old-all-images-current-state,7,0.03653012156848358
10,old-all-images-current-state,8,0.05058964852128093
10,old-all-images-current-state,9,0.058167744447318676
10,old-all-images-current-state,10,0.032761440596431796
10,old-all-images-current-state,11,0.013228266407129296
10,current-images-old-state,0,0.07629292771215518
10,current-images-old-state,1,0.11883639251553946
10,current-images-old-state,2,0.110228878114305
10,current-images-old-state,3,0.07850560169970923
10,current-images-old-state,4,0.10303140761942527
10,current-images-old-state,5,0.020547973714380798
10,current-images-old-state,6,0.13808573822117307
10,current-images-old-state,7,0.20101885313193926
10,current-images-old-state,8,0.20159987688318778
10,current-images-old-state,9,0.11302182355729848
10,current-images-old-state,10,0.05602359135237116
10,current-images-old-state,11,0.01251057768646786
10,old-top-only,0,0.07058547298433299
10,old-top-only,1,0.7402619596738458
10,old-top-only,2,0.4002023873494788
10,old-top-only,3,0.09671058298741442
10,old-top-only,4,0.23067874757282783
10,old-top-only,5,0.43575202198670676
10,old-top-only,6,0.09745898201656329
10,old-top-only,7,0.1858146763570551
10,old-top-only,8,0.20469718008521248
10,old-top-only,9,0.06827275652768094
10,old-top-only,10,0.06227972007735431
10,old-top-only,11,0.008120950498658106
10,old-left-only,0,0.12005973989144977
10,old-left-only,1,0.44956311131426474
10,old-left-only,2,0.200012951028106
10,old-left-only,3,0.06431674992939103
10,old-left-only,4,0.23218658346900317
10,old-left-only,5,0.3811778753726426
10,old-left-only,6,0.07390865736065555
10,old-left-only,7,0.045406601647952356
10,old-left-only,8,0.07308840713448518
10,old-left-only,9,0.06067682717675551
10,old-left-only,10,0.03354276816879631
10,old-left-only,11,0.00957808712348761
10,old-right-only,0,0.08152022500995523
10,old-right-only,1,0.7421391368101002
10,old-right-only,2,0.43415727413127875
10,old-right-only,3,0.08065235989964804
10,old-right-only,4,0.30284115471232503
10,old-right-only,5,0.4795414929684907
10,old-right-only,6,0.06864295222036006
10,old-right-only,7,0.11738462822988004
10,old-right-only,8,0.15176345281605014
