branch,conditions_passed,conditions_total,geometric_success,global_step,initial_boundary_action,phase,root_id,settle_step,student_global_action
normal_h10,2,4,False,16,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,17,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,18,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,19,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,20,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,21,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,22,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,23,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,24,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,25,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,26,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,27,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,28,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,29,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,30,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,31,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,32,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,33,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,34,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,35,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,36,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,37,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,38,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,39,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,40,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,41,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,42,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,43,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,44,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,45,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,46,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,47,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,48,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,49,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,50,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,51,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,52,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,53,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,54,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,55,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,56,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,57,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,58,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,59,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,60,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,61,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,62,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,63,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,64,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,65,5,continuation,pose3_boundary5_plus10,,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,1,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,2,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,3,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,4,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,5,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,6,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,7,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,8,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,9,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,10,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,11,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,12,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,13,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,14,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,15,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,16,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,17,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,18,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,19,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,20,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,21,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,22,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,23,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,24,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,25,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,26,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,27,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,28,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,29,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,30,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,31,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,32,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,33,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,34,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,35,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,36,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,37,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,38,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,39,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,40,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,41,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,42,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,43,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,44,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,45,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,46,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,47,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,48,15
normal_h10,2,4,False,,5,terminal_settle,pose3_boundary5_plus10,49,15
