id,pose,garment,horizon,infrastructure_valid,official_ever_success,terminal_success,best_policy_conditions,terminal_conditions,conditions_total,worst_margin_cm,closest_threshold_margin_cm,replans,worker_wall_seconds,failure_category
dev00_h50_Pant_Short_Seen_0,0,Pant_Short_Seen_0,50,False,,,,,,,,,,
dev00_h10_Pant_Short_Seen_0,0,Pant_Short_Seen_0,10,True,False,False,2,1,4,-22.15814092155083,5.260648321168421,60,315.4759266427718,never_approached_cloth_proxy
dev00_h05_Pant_Short_Seen_0,0,Pant_Short_Seen_0,5,False,,,,,,,,,,
dev01_h50_Pant_Short_Seen_0,1,Pant_Short_Seen_0,50,False,,,,,,,,,,
dev01_h10_Pant_Short_Seen_0,1,Pant_Short_Seen_0,10,False,,,,,,,,,,
dev01_h05_Pant_Short_Seen_0,1,Pant_Short_Seen_0,5,False,,,,,,,,,,
dev02_h50_Pant_Short_Seen_3,2,Pant_Short_Seen_3,50,False,,,,,,,,,,
dev02_h10_Pant_Short_Seen_3,2,Pant_Short_Seen_3,10,False,,,,,,,,,,
dev02_h05_Pant_Short_Seen_3,2,Pant_Short_Seen_3,5,False,,,,,,,,,,
dev03_h50_Pant_Short_Seen_3,3,Pant_Short_Seen_3,50,False,,,,,,,,,,
dev03_h10_Pant_Short_Seen_3,3,Pant_Short_Seen_3,10,False,,,,,,,,,,
dev03_h05_Pant_Short_Seen_3,3,Pant_Short_Seen_3,5,False,,,,,,,,,,
dev04_h50_Pant_Short_Seen_7,4,Pant_Short_Seen_7,50,False,,,,,,,,,,
dev04_h10_Pant_Short_Seen_7,4,Pant_Short_Seen_7,10,False,,,,,,,,,,
dev04_h05_Pant_Short_Seen_7,4,Pant_Short_Seen_7,5,False,,,,,,,,,,
dev05_h50_Pant_Short_Seen_7,5,Pant_Short_Seen_7,50,False,,,,,,,,,,
dev05_h10_Pant_Short_Seen_7,5,Pant_Short_Seen_7,10,False,,,,,,,,,,
dev05_h05_Pant_Short_Seen_7,5,Pant_Short_Seen_7,5,False,,,,,,,,,,
dev06_h50_Pant_Short_Seen_9,6,Pant_Short_Seen_9,50,False,,,,,,,,,,
dev06_h10_Pant_Short_Seen_9,6,Pant_Short_Seen_9,10,False,,,,,,,,,,
dev06_h05_Pant_Short_Seen_9,6,Pant_Short_Seen_9,5,False,,,,,,,,,,
dev07_h50_Pant_Short_Seen_9,7,Pant_Short_Seen_9,50,False,,,,,,,,,,
dev07_h10_Pant_Short_Seen_9,7,Pant_Short_Seen_9,10,False,,,,,,,,,,
dev07_h05_Pant_Short_Seen_9,7,Pant_Short_Seen_9,5,False,,,,,,,,,,
