id,pose,garment,horizon,infrastructure_valid,official_ever_success,terminal_success,best_policy_conditions,terminal_conditions,conditions_total,worst_margin_cm,closest_threshold_margin_cm,replans,worker_wall_seconds,failure_category
dev00_h50_Pant_Short_Seen_0,0,Pant_Short_Seen_0,50,True,False,False,3,2,4,-23.616786859532557,0.171739564787579,12,325.91427109600045,never_approached_cloth_proxy
dev00_h10_Pant_Short_Seen_0,0,Pant_Short_Seen_0,10,True,False,False,2,1,4,-22.15814092155083,5.260648321168421,60,315.4759266427718,never_approached_cloth_proxy
dev00_h05_Pant_Short_Seen_0,0,Pant_Short_Seen_0,5,True,False,False,3,2,4,-4.958754793242431,1.1881885699412926,120,332.1168887591921,partial_fold_2_of_4
dev01_h50_Pant_Short_Seen_0,1,Pant_Short_Seen_0,50,True,True,True,4,4,4,1.6830451322362894,1.6830451322362894,12,303.53393242903985,
dev01_h10_Pant_Short_Seen_0,1,Pant_Short_Seen_0,10,True,False,False,3,3,4,-6.529130599975394,4.508182221415296,60,310.89607259305194,never_approached_cloth_proxy
dev01_h05_Pant_Short_Seen_0,1,Pant_Short_Seen_0,5,True,False,False,3,2,4,-7.247107229236692,1.7044768567300856,120,329.21789777697995,partial_fold_2_of_4
dev02_h50_Pant_Short_Seen_3,2,Pant_Short_Seen_3,50,True,False,False,2,2,4,-6.574026237009596,-2.374351022729279,12,287.11539363185875,never_approached_cloth_proxy
dev02_h10_Pant_Short_Seen_3,2,Pant_Short_Seen_3,10,True,False,False,3,1,4,-4.279588792731101,-0.008810769031889265,60,308.5963483180385,partial_fold_1_of_4
dev02_h05_Pant_Short_Seen_3,2,Pant_Short_Seen_3,5,True,False,False,3,3,4,-6.307686814654529,0.4289725684429868,120,324.268768907059,partial_fold_3_of_4
dev03_h50_Pant_Short_Seen_3,3,Pant_Short_Seen_3,50,True,True,True,4,4,4,4.570118025234567,4.570118025234567,12,286.27500203996897,
dev03_h10_Pant_Short_Seen_3,3,Pant_Short_Seen_3,10,True,False,False,3,3,4,-0.29439202612653936,-0.29439202612653936,60,304.1983720778953,never_approached_cloth_proxy
dev03_h05_Pant_Short_Seen_3,3,Pant_Short_Seen_3,5,True,False,False,3,1,4,-3.0368965682549582,0.15485755029824944,120,327.0658132790122,partial_fold_1_of_4
dev04_h50_Pant_Short_Seen_7,4,Pant_Short_Seen_7,50,True,False,False,3,1,4,-9.462089575997917,-2.4466651420405903,12,290.3776021930389,partial_fold_1_of_4
dev04_h10_Pant_Short_Seen_7,4,Pant_Short_Seen_7,10,True,False,False,2,2,4,-3.7926167216001403,-2.617796194264205,60,308.9378948030062,never_approached_cloth_proxy
dev04_h05_Pant_Short_Seen_7,4,Pant_Short_Seen_7,5,True,False,False,3,2,4,-2.7435922610872545,-0.07908573903460514,120,332.13308423385024,partial_fold_2_of_4
dev05_h50_Pant_Short_Seen_7,5,Pant_Short_Seen_7,50,True,True,True,4,4,4,2.856258984258745,2.856258984258745,12,296.1719958120957,
dev05_h10_Pant_Short_Seen_7,5,Pant_Short_Seen_7,10,True,False,False,3,3,4,-2.506043632122994,-2.506043632122994,60,310.18590956390835,partial_fold_3_of_4
dev05_h05_Pant_Short_Seen_7,5,Pant_Short_Seen_7,5,True,False,False,2,2,4,-4.193366072968363,0.061549601900690476,120,332.96925230603665,never_approached_cloth_proxy
dev06_h50_Pant_Short_Seen_9,6,Pant_Short_Seen_9,50,True,False,False,3,3,4,-5.092829068568703,0.03864821252864914,12,291.3181969060097,never_approached_cloth_proxy
dev06_h10_Pant_Short_Seen_9,6,Pant_Short_Seen_9,10,True,False,False,3,3,4,-5.431596174344433,4.807242324998281,60,312.7415812399704,partial_fold_3_of_4
dev06_h05_Pant_Short_Seen_9,6,Pant_Short_Seen_9,5,True,False,False,2,2,4,-4.704185810465381,-0.06454641101484526,120,327.3085993598215,never_approached_cloth_proxy
dev07_h50_Pant_Short_Seen_9,7,Pant_Short_Seen_9,50,True,True,True,4,4,4,1.5845890934467581,1.5845890934467581,12,293.9639849849045,
dev07_h10_Pant_Short_Seen_9,7,Pant_Short_Seen_9,10,True,False,False,4,3,4,-1.8818558794486009,-1.8818558794486009,60,310.63652097503655,success_then_unfolded
dev07_h05_Pant_Short_Seen_9,7,Pant_Short_Seen_9,5,True,False,False,3,2,4,-11.611000387368543,-0.9973320553010296,120,330.2188286969904,never_approached_cloth_proxy
