boundary_action,delay,local_action,global_action,l2_rad,max_abs_rad,mean_abs_rad
5,2,1,6,0.0,0.0,0.0
5,2,2,7,0.0,0.0,0.0
5,2,3,8,0.1099667634864802,0.0707467794418335,0.022929903119802475
5,2,4,9,0.12637167986311743,0.07158052921295166,0.02880038817723592
5,2,5,10,0.12979354546008506,0.06838387250900269,0.029822340855995815
5,2,6,11,0.11174779232786473,0.054643601179122925,0.024842073520024616
5,2,7,12,0.12109176197055849,0.06368216872215271,0.027826058367888134
5,2,8,13,0.6102680224788245,0.44110965728759766,0.11957117170095444
5,2,9,14,0.4763256221551718,0.34294092655181885,0.09075481568773587
5,2,10,15,0.31719274753358884,0.17511498928070068,0.07289961228768031
5,5,1,6,0.0,0.0,0.0
5,5,2,7,0.0,0.0,0.0
5,5,3,8,0.0,0.0,0.0
5,5,4,9,0.0,0.0,0.0
5,5,5,10,0.0,0.0,0.0
5,5,6,11,0.11174779232786473,0.054643601179122925,0.024842073520024616
5,5,7,12,0.12109176197055849,0.06368216872215271,0.027826058367888134
5,5,8,13,0.5641051150071131,0.27186819911003113,0.13347920030355453
5,5,9,14,0.698043051141928,0.32939600944519043,0.15419930964708328
5,5,10,15,0.5665267196646995,0.31611204147338867,0.12282413616776466
5,10,1,6,0.0,0.0,0.0
5,10,2,7,0.0,0.0,0.0
5,10,3,8,0.0,0.0,0.0
5,10,4,9,0.0,0.0,0.0
5,10,5,10,0.0,0.0,0.0
5,10,6,11,0.11174779232786473,0.054643601179122925,0.024842073520024616
5,10,7,12,0.12109176197055849,0.06368216872215271,0.027826058367888134
5,10,8,13,0.5641051150071131,0.27186819911003113,0.13347920030355453
5,10,9,14,0.698043051141928,0.32939600944519043,0.15419930964708328
5,10,10,15,0.5665267196646995,0.31611204147338867,0.12282413616776466
10,2,1,11,0.0,0.0,0.0
10,2,2,12,0.0,0.0,0.0
10,2,3,13,0.72588732655391,0.45716989040374756,0.15462280406306186
10,2,4,14,1.0214085851597363,0.684228777885437,0.20019839952389398
10,2,5,15,1.0815768523404259,0.7800332307815552,0.20533514395356178
10,2,6,16,1.07502577070821,0.7377403378486633,0.22030060117443404
10,2,7,17,1.0376949878488582,0.762202262878418,0.21296373258034387
10,2,8,18,1.2443076302529132,0.9233846664428711,0.2535853472848733
10,2,9,19,1.3375879235718549,1.0233989357948303,0.2675541192293167
10,2,10,20,1.2766492842117882,0.9910785555839539,0.24664410576224327
10,5,1,11,0.0,0.0,0.0
10,5,2,12,0.0,0.0,0.0
10,5,3,13,0.0,0.0,0.0
10,5,4,14,0.0,0.0,0.0
10,5,5,15,0.0,0.0,0.0
10,5,6,16,1.07502577070821,0.7377403378486633,0.22030060117443404
10,5,7,17,1.0376949878488582,0.762202262878418,0.21296373258034387
10,5,8,18,1.2443076302529132,0.9233846664428711,0.2535853472848733
10,5,9,19,1.3375879235718549,1.0233989357948303,0.2675541192293167
10,5,10,20,1.2766492842117882,0.9910785555839539,0.24664410576224327
10,10,1,11,0.0,0.0,0.0
10,10,2,12,0.0,0.0,0.0
10,10,3,13,0.0,0.0,0.0
10,10,4,14,0.0,0.0,0.0
10,10,5,15,0.0,0.0,0.0
10,10,6,16,0.0,0.0,0.0
10,10,7,17,0.0,0.0,0.0
10,10,8,18,0.0,0.0,0.0
10,10,9,19,0.0,0.0,0.0
10,10,10,20,0.0,0.0,0.0
