phase,step,conditions_passed,conditions_total,success,condition_1_margin_cm,condition_2_margin_cm,condition_3_margin_cm,condition_4_margin_cm
policy,1,2,4,False,-24.826740544168977,5.733090041990069,5.883085469099475,-26.978422246027502
policy,2,2,4,False,-24.83103480254742,5.733992670808361,5.886639354800453,-26.984653406224442
policy,3,2,4,False,-24.836669124805425,5.733611409094442,5.889207399933111,-26.98615507868922
policy,4,2,4,False,-24.84384057430013,5.7341676795596985,5.888154739623575,-26.99081049863179
policy,5,2,4,False,-24.849256062764645,5.734622454327008,5.889946413286646,-26.996948643753182
policy,6,2,4,False,-24.85352502182338,5.734603455476732,5.8932101512928785,-27.000741631430063
policy,7,2,4,False,-24.858213873220663,5.734582244928864,5.895856815081784,-27.004161776471737
policy,8,2,4,False,-24.864698828349468,5.736829507677184,5.897568215324236,-27.012764991363884
policy,9,2,4,False,-24.868252954033608,5.733217646549173,5.896039463544161,-27.01248048344033
policy,10,2,4,False,-24.873931838117798,5.732129330343971,5.899871447579978,-27.018084756284555
policy,11,2,4,False,-24.877271650334954,5.732493036894654,5.900788153035839,-27.018885571923565
policy,12,2,4,False,-24.882114723103214,5.731426386780564,5.901142592911517,-27.0231631445273
policy,13,2,4,False,-24.886628420229336,5.7278728487766575,5.900978208890928,-27.033343619622084
policy,14,2,4,False,-24.889720188037536,5.718868226837573,5.898405474681086,-27.035523428991294
policy,15,2,4,False,-24.89440175256354,5.715573725870838,5.896543145275002,-27.038681423993484
policy,16,2,4,False,-24.897557383713554,5.7192208581726955,5.89511543335542,-27.04046707092279
policy,17,2,4,False,-24.901702093705367,5.712497200504865,5.8945384883383145,-27.04244221305157
policy,18,2,4,False,-24.90427929697666,5.703562878534436,5.892461268672742,-27.045491354372093
policy,19,2,4,False,-24.907625809086177,5.700123028510758,5.890681088674254,-27.049609850298683
policy,20,2,4,False,-24.912745610765796,5.709991763291496,5.891229466255089,-27.05181752217108
policy,21,2,4,False,-24.91229823645989,5.714947870560975,5.889493436442921,-27.054698787995978
policy,22,2,4,False,-24.913785738072626,5.714472072702927,5.885879097310665,-27.056586801593024
policy,23,2,4,False,-24.912775202957064,5.711498950591322,5.88244515597289,-27.058245068950672
policy,24,2,4,False,-24.917679045957335,5.707713783146415,5.882053309336927,-27.06138811846336
policy,25,2,4,False,-24.91908084028666,5.7072392266658145,5.879635469568024,-27.06358353579986
policy,26,2,4,False,-24.925387055924773,5.706131167518075,5.877916271168408,-27.06553175048278
policy,27,2,4,False,-24.92665394592668,5.703888593707761,5.877869059614559,-27.06791951982824
policy,28,2,4,False,-24.9295515280822,5.705785210985946,5.877005512979453,-27.071040334685517
policy,29,2,4,False,-24.93113366653875,5.706024126059882,5.875271478899938,-27.07109163751974
policy,30,2,4,False,-24.93487233291104,5.7047144689318205,5.87536524322771,-27.075494687750254
policy,31,2,4,False,-24.937034002498223,5.704700850951022,5.872950925608945,-27.07278714885955
policy,32,2,4,False,-24.942097135766595,5.704860943377577,5.873790041612326,-27.0762241321022
policy,33,2,4,False,-24.947465598015363,5.7027017822092905,5.872608986352217,-27.077147926037842
policy,34,2,4,False,-24.949138670335074,5.6956553046434575,5.8714019576885,-27.078466318052154
policy,35,2,4,False,-24.94706847798968,5.689509533644385,5.871613593777811,-27.079542494066434
policy,36,2,4,False,-24.951734118933743,5.70525700974151,5.871182121229202,-27.080456824758922
policy,37,2,4,False,-24.9515731380393,5.7193647159009675,5.86579275985474,-27.0819574135859
policy,38,2,4,False,-24.95623555236599,5.768583716839471,5.866257489560494,-27.082699757473154
policy,39,2,4,False,-24.957171223734356,5.763242837942785,5.866721130435449,-27.08396726623474
policy,40,2,4,False,-24.96140652167798,5.763121476493138,5.869427777314309,-27.084933905313488
policy,41,2,4,False,-24.9625058101443,5.763470328958123,5.867996277141581,-27.0853770545129
policy,42,2,4,False,-24.970556747439694,5.767126546830392,5.870534794029355,-27.086738538694878
policy,43,2,4,False,-24.978700829135732,5.77089332600473,5.871883017131394,-27.087179288364975
policy,44,2,4,False,-24.983551277190976,5.772766263660403,5.872310509473598,-27.09012797141691
policy,45,2,4,False,-24.98334720449286,5.774191776652069,5.871266220431329,-27.0900245721819
policy,46,2,4,False,-24.98839712698316,5.773909706246124,5.870626180404246,-27.090846881272793
policy,47,2,4,False,-24.987769911687636,5.768886502361985,5.8706261573766,-27.089941457726912
policy,48,2,4,False,-24.990099866499627,5.770600742480491,5.870880618168071,-27.093256251887578
policy,49,2,4,False,-24.991118061749233,5.769438104672792,5.8697145740996195,-27.09544661724132
policy,50,2,4,False,-24.993819292701303,5.769880674530194,5.873619362705396,-27.0973139559571
policy,51,2,4,False,-24.99525119800647,5.769087098491356,5.871274471719387,-27.098958175852456
policy,52,2,4,False,-24.99796725219607,5.769693836305601,5.872042070590707,-27.102293692491845
policy,53,2,4,False,-24.998309377009065,5.769269745408346,5.868958919272812,-27.10270424606944
policy,54,2,4,False,-25.001660787839832,5.770640279577064,5.868930608615466,-27.102415661662537
policy,55,2,4,False,-25.003408964820792,5.770564127717643,5.866014338855331,-27.103018492484455
policy,56,2,4,False,-25.005697991755582,5.769942843508732,5.86620451914226,-27.10585555335388
policy,57,2,4,False,-25.00621361874881,5.768648161060851,5.862294378655976,-27.10818557412937
policy,58,2,4,False,-25.010061207366412,5.765761368562254,5.86332645289521,-27.109045102247034
policy,59,2,4,False,-25.010310697166325,5.764653431806165,5.8598832836337404,-27.108561232217472
policy,60,2,4,False,-25.013309733417607,5.762941703230448,5.860786991303867,-27.110249108159575
policy,61,2,4,False,-25.014975828270174,5.7650469488785685,5.858717433227733,-27.11014153570616
policy,62,2,4,False,-25.01731799017133,5.7647280964763485,5.8578275545208225,-27.11210007551244
policy,63,2,4,False,-25.01804773236384,5.761992708930757,5.8582735693482615,-27.113824888530235
policy,64,2,4,False,-25.01731614642774,5.758833321800266,5.857097238263448,-27.11472921754687
policy,65,2,4,False,-25.003960058199837,5.752700158357387,5.856969730763096,-27.115651808728924
policy,66,2,4,False,-24.974884634895176,5.740673051742606,5.855513792611129,-27.11474394077076
policy,67,2,4,False,-24.904882747927218,5.694745274285358,5.856354781843406,-27.118309447667148
policy,68,2,4,False,-24.78245015958079,5.674667657739379,5.856855126611935,-27.118970041712654
policy,69,2,4,False,-24.602637660093073,5.658534685617125,5.85541501373576,-27.12105493874493
policy,70,2,4,False,-24.31651939114893,5.6317319314830225,5.854926747028168,-27.122022024110567
policy,71,2,4,False,-23.82888882595128,5.518203882957257,5.854760234769715,-27.12046992625753
policy,72,2,4,False,-23.137055462562984,5.221048908556314,5.854256330977007,-27.121056666298262
policy,73,2,4,False,-22.510391225720568,4.939394691405694,5.851904993530733,-27.1214920057733
policy,74,2,4,False,-21.994813968713665,4.59942508650361,5.850732017045965,-27.123167733597473
policy,75,2,4,False,-21.83850430624632,4.702063076170527,5.847714300334362,-27.121706588055094
policy,76,2,4,False,-21.94685485605681,5.27772621460158,5.8445911217310655,-27.121502193207792
policy,77,2,4,False,-21.709963325616606,5.088157593339192,5.847869029962142,-27.127045065674697
policy,78,2,4,False,-21.38046889259043,4.548602814494805,5.872729321945618,-27.153275933856758
policy,79,2,4,False,-21.00695512107056,4.040246537268013,5.873873330852694,-27.156027349920844
policy,80,2,4,False,-20.756369987145675,3.707306507462947,5.870994172831827,-27.155646530356737
policy,81,2,4,False,-20.596492127865808,3.5070991768071966,5.860403964663012,-27.146489432379337
policy,82,2,4,False,-20.81880691390812,3.940575855019693,5.8376903099356365,-27.126896276492477
policy,83,2,4,False,-20.946978183802145,4.48339396236876,5.84867740606092,-27.13836514060623
policy,84,2,4,False,-20.88493678685134,4.863850133015154,5.883133943827817,-27.172312274825853
policy,85,2,4,False,-21.021534721437334,5.494893164940679,5.928762255722363,-27.22287310296488
policy,86,2,4,False,-21.22270041337341,5.924891893241044,5.978031330380437,-27.271258021264185
policy,87,2,4,False,-21.46989961141235,6.281204133100983,6.011425867082933,-27.30898228163296
policy,88,2,4,False,-21.59268331432611,6.376185576903522,6.051188566358912,-27.34832331757048
policy,89,2,4,False,-21.58243122559722,6.236379337607152,6.113625287033722,-27.410231242890415
policy,90,2,4,False,-21.58471869665039,6.100404565175451,6.182819314746675,-27.482022493955018
policy,91,2,4,False,-21.437927307879903,5.7974804701429345,6.237746435944581,-27.540995391342964
policy,92,2,4,False,-21.078492488698835,5.478567995542528,6.281922754167036,-27.58229455651256
policy,93,2,4,False,-20.544318489924578,5.226126444768612,6.310631130900605,-27.618672761184644
policy,94,2,4,False,-19.908981803300748,4.696015561882602,6.31882301703938,-27.625997927246086
policy,95,2,4,False,-19.163325118659145,4.333463642366203,6.296896454864255,-27.608457165385136
policy,96,2,4,False,-18.09869113885376,3.8798571382574227,6.286941028706435,-27.59686527196644
policy,97,2,4,False,-16.63187632285846,3.4704280421769997,6.278444779016697,-27.594733685880602
policy,98,2,4,False,-14.528356222965845,2.951117371932712,6.279569974653937,-27.59253980946332
policy,99,2,4,False,-12.450040997270468,2.4473819508189045,6.254253698339246,-27.57555033508417
policy,100,2,4,False,-10.539917447516364,2.4046582718144585,6.246628152792498,-27.563095340201368
policy,101,2,4,False,-8.757902053485582,2.722937173187397,6.233511480216938,-27.54183593090063
