phase,step,conditions_passed,conditions_total,success,condition_1_margin_cm,condition_2_margin_cm,condition_3_margin_cm,condition_4_margin_cm,condition_5_margin_cm
policy,1,2,5,False,-17.392309884823675,-36.45607599676393,-18.677775465099945,9.681505541729779,4.41999098915689
policy,2,2,5,False,-17.40002492530928,-36.46638916344821,-18.695474889774044,9.701183629787844,4.4234119510507295
policy,3,2,5,False,-17.407762824542527,-36.47082498049332,-18.716864028016445,9.723002575615757,4.424561592593296
policy,4,2,5,False,-17.410704473370448,-36.480204420275044,-18.73644070616734,9.745361690806105,4.424667786583402
policy,5,2,5,False,-17.420441335455884,-36.48592313174228,-18.750904200260806,9.762829535187342,4.432403192541935
policy,6,2,5,False,-17.43039281631731,-36.49491504535531,-18.768067024957023,9.77713353108843,4.4395732167877675
policy,7,2,5,False,-17.43589591555438,-36.50192256439459,-18.78300166716149,9.788672660879554,4.445677912715826
policy,8,2,5,False,-17.44161348765862,-36.50598163877579,-18.79564683872333,9.799214279915018,4.447498947322703
policy,9,2,5,False,-17.44582454320569,-36.51241885825412,-18.804113186421883,9.802626995566262,4.451946282560829
policy,10,2,5,False,-17.449757039959476,-36.5167899276031,-18.813553824108652,9.812133927118035,4.453481338196484
policy,11,2,5,False,-17.45328524400659,-36.52143597178612,-18.819576403955445,9.82141101207487,4.457910459279038
policy,12,2,5,False,-17.45861796128828,-36.52928746483967,-18.827779109579545,9.832691248022472,4.459237762076562
policy,13,2,5,False,-17.465176807687676,-36.53095230473569,-18.84241943095222,9.84389378298363,4.462688963519211
policy,14,2,5,False,-17.476059114282144,-36.53840950151995,-18.85826774723315,9.858889418456725,4.46129481214855
policy,15,2,5,False,-17.47913333380467,-36.53990679259401,-18.871393719226255,9.875459660799299,4.467270918023278
policy,16,2,5,False,-17.479992539621488,-36.5456608287751,-18.88703747891638,9.894353305557223,4.4747551397804965
policy,17,2,5,False,-17.485901282883464,-36.547599864508086,-18.899270161118576,9.906214247084398,4.483949091472635
policy,18,2,5,False,-17.493018700595897,-36.555844888337845,-18.90844375006413,9.920492619828925,4.4868354852605705
policy,19,2,5,False,-17.502917314363405,-36.56668950670536,-18.911162325695763,9.923488670053432,4.4932049808044745
policy,20,2,5,False,-17.507435684661164,-36.58148927366983,-18.915775471863764,9.939612001544587,4.492459109601423
policy,21,2,5,False,-17.5091382083927,-36.60534646430244,-18.929233491015154,9.954320360960532,4.500798104737939
policy,22,2,5,False,-17.50918059269386,-36.624284501631635,-18.94398170023094,9.973555387342765,4.502786581458054
policy,23,2,5,False,-17.51129459421332,-36.63734494878389,-18.976303934156608,9.990559865509839,4.504816028692597
policy,24,2,5,False,-17.514921571385827,-36.65663319918217,-19.007444411736355,10.024640510732015,4.501540110868005
policy,25,2,5,False,-17.52252493682103,-36.67188668401501,-19.04678113467221,10.051266951037588,4.507479939817957
