phase,step,conditions_passed,conditions_total,success,condition_1_margin_cm,condition_2_margin_cm,condition_3_margin_cm,condition_4_margin_cm,condition_5_margin_cm
policy,1,2,5,False,-4.23453058643887,-5.752576124541523,-5.337151946676382,13.09998631149201,9.110665641464095
policy,2,2,5,False,-4.2461885809056525,-5.754020319609133,-5.345862545073931,13.100611993301039,9.113663770304719
policy,3,2,5,False,-4.2509894098944105,-5.755774614485226,-5.351862223156893,13.099478988065735,9.118975853150275
policy,4,2,5,False,-4.252066779551937,-5.758326040717392,-5.358537133451364,13.098158725194406,9.124428493041744
policy,5,2,5,False,-4.254037672244378,-5.760292709078353,-5.3640257451540165,13.096228688966729,9.12802222057623
policy,6,2,5,False,-4.253243295169989,-5.757986712843142,-5.367815293898964,13.097079525682595,9.12964345234472
policy,7,2,5,False,-4.258671114212623,-5.758182132880069,-5.370540837262336,13.096393923696612,9.131253696357465
policy,8,2,5,False,-4.2590634410263775,-5.757774687126311,-5.375279323791432,13.090688572530825,9.13318760729317
policy,9,2,5,False,-4.254102126631855,-5.757295806421194,-5.383074740604691,13.093967128746742,9.136589199053116
policy,10,2,5,False,-4.255574769698843,-5.755046551619831,-5.39586847296691,13.096927840752308,9.136604617688516
policy,11,2,5,False,-4.2613625071108245,-5.752996247633817,-5.408354309855113,13.090602621874748,9.136677966869705
policy,12,2,5,False,-4.249900994087808,-5.752268161964686,-5.42816574614265,13.079347656636564,9.136362014382804
policy,13,2,5,False,-4.258879408590715,-5.7554282570496795,-5.450927983121044,13.078888033924324,9.137486371131693
policy,14,2,5,False,-4.271444465319902,-5.756069318498184,-5.476397126609413,13.08317054713052,9.13987822288367
policy,15,2,5,False,-4.27563745257982,-5.756500968133203,-5.492162643924683,13.084340794437356,9.144874846741203
policy,16,2,5,False,-4.282471473912153,-5.753256371585554,-5.500304516720696,13.074963020063198,9.147143269313833
policy,17,2,5,False,-4.301202950325022,-5.749671324369327,-5.501074012475261,13.053373596374767,9.150658070328184
policy,18,2,5,False,-4.323358633427535,-5.745818270461378,-5.5014449919378094,13.034999370662822,9.149441614094215
policy,19,2,5,False,-4.332009162113046,-5.744354931936655,-5.505436778732523,13.029474654160211,9.145299017359363
policy,20,2,5,False,-4.327972768088571,-5.739656687418336,-5.50711895546463,13.021377726857189,9.143329217607718
policy,21,2,5,False,-4.326287291670827,-5.738979005213441,-5.509953485503612,13.014393736604767,9.141350900237306
policy,22,2,5,False,-4.330542430770251,-5.738807954296487,-5.5135039917149165,13.005025545156595,9.14157087590727
policy,23,2,5,False,-4.336906557470636,-5.731501497519751,-5.5188130428631155,12.992529572545378,9.143994955094886
policy,24,2,5,False,-4.345673311567564,-5.72895919153223,-5.52233997429758,12.981479604213073,9.148100305525801
policy,25,2,5,False,-4.352264863726063,-5.7267529994440025,-5.525064892849311,12.973813958704737,9.152353938358704
policy,26,2,5,False,-4.356161112791623,-5.72669088645597,-5.527281218012423,12.968486450428536,9.153769151990868
policy,27,2,5,False,-4.355849293544356,-5.725329907917452,-5.530261015027616,12.956833920532329,9.156236963004975
policy,28,2,5,False,-4.354288990498587,-5.7216665898969055,-5.532918401920767,12.953129162780463,9.1565753618417
policy,29,2,5,False,-4.35457466907582,-5.72437827060493,-5.533845847344814,12.951114136071517,9.153935555264649
