id,garment,pose_key,seed,usable_samples,terminal_reward,terminal_conditions_passed,terminal_conditions_total,terminal_success,advantage,awr_weight,trajectory_sha256,result_sha256
it2_pant_short_seen_4_key0_s72000_h50,Pant_Short_Seen_4,0,72000,111,0.25,1,4,False,-0.34375,0.2501075863838196,8ceec05d6ee5a7b8871580717e41f0b366e7fb5b71b1b6327dd303c99c1390f7,9286de988cf0a1fa13fd0908f837b9d0741120303b9d79e3dd72b18bc73aa26e
it2_pant_short_seen_4_key0_s72001_h50,Pant_Short_Seen_4,0,72001,111,0.25,1,4,False,-0.34375,0.2501075863838196,9c7c328d49157cb193495d75ccb937be1d4500e27a0ea6b8dddde3d87681412d,04e141d6eb494eb2c00ba74170658d97d40e0347de9c37802b9ebe3fb50c6845
it2_pant_short_seen_4_key1_s72010_h50,Pant_Short_Seen_4,1,72010,111,0.5,2,4,False,-0.09375,0.6852558851242065,5fd37b2bca25d8925834173282dcf6277b0c9102ac6962337c78e4cbc07476a5,9efc26c95bd4a7ccecab068294cbba4e548c75765f01727722be4125465388fd
it2_pant_short_seen_4_key1_s72011_h50,Pant_Short_Seen_4,1,72011,111,0.5,2,4,False,-0.09375,0.6852558851242065,222631a0e37b2500c612b730ea7f383491269057b2a76e5f4950c68411b66215,b6a92057b17b4c60c603cfb4317f0d8d607b1d93e4c03ce0b29b42ada178d6f3
it2_pant_short_seen_5_key0_s72002_h50,Pant_Short_Seen_5,0,72002,111,1.0,4,4,True,0.40625,3.0,701da1d12c54d1d841c20101e1f43c61190d8ccdbdce57d027c7520f6ec02aaa,0216344e7b7c2d8595055d16dbdcc4eaa2b576c698a38c4e82a3192220c54e1c
it2_pant_short_seen_5_key0_s72003_h50,Pant_Short_Seen_5,0,72003,111,0.25,1,4,False,-0.34375,0.2501075863838196,5dc3c2eb30463fd6d405faa12ad52bbf3ab282424b211745b423714bdfae54d1,3026eb6e30349bfd8cac3a4523849484cfa658f8c82213cb1dc48cb9e56605ea
it2_pant_short_seen_5_key1_s72012_h50,Pant_Short_Seen_5,1,72012,111,1.0,4,4,True,0.40625,3.0,eb9063f73e85514cbc3c9558bcf012830f4a22eb004879fbd2ead48b97c3776e,fe0a1930579ea6e20609a68359aad1d71c6d1336b630a6609906bcb18624872b
it2_pant_short_seen_5_key1_s72013_h50,Pant_Short_Seen_5,1,72013,111,0.5,2,4,False,-0.09375,0.6852558851242065,b0ef7317b850651748974640fce69117a1f1ae4233e1cc5b7d618bf454557392,266e41c6b9d8ea6b8d2689fbf7c4fedaaaa746e41afd8212bc2b6f13d41d6442
it2_pant_short_seen_6_key0_s72004_h50,Pant_Short_Seen_6,0,72004,111,0.75,3,4,False,0.15625,1.8774945735931396,a704cbfd089958c5920d483ed61ef7aeb0fb9cd555a2be6c3142ef8ccfb30a87,b46cb589256bf6a0083c8052c37b06b90c43f963661b8e495e0795ad018d05a5
it2_pant_short_seen_6_key0_s72005_h50,Pant_Short_Seen_6,0,72005,111,0.25,1,4,False,-0.34375,0.2501075863838196,68da430295846109d7ad281523a42766c5e925a57f65e48efc30b41d9de3a82a,c47de2fe4e79c21363c14e86966299262a450a572cafc801120569f6cea27987
it2_pant_short_seen_6_key2_s72006_h50,Pant_Short_Seen_6,2,72006,111,0.5,2,4,False,-0.09375,0.6852558851242065,dc6549ebfb39580d59fa84e2ba9f97a320a78dcd14925ccf38972e165f2f4e3d,e651eee8563c51a393a7326d054be6c5fb806f3b58b995750fd3fb02ff9bbaac
it2_pant_short_seen_6_key2_s72007_h50,Pant_Short_Seen_6,2,72007,111,0.75,3,4,False,0.15625,1.8774945735931396,35af854469609da5833dbefab39e400499e8d2b4f679334ed48953bf4796859a,a2a071853a9ee55d3cb1a859876929a2728bd933477b7554e0744fa994fe75da
it2_pant_short_seen_8_key1_s72014_h50,Pant_Short_Seen_8,1,72014,111,0.75,3,4,False,0.15625,1.8774945735931396,faebc75b32563b99d5c688dad520f1220058a733895e16ed690aa0fb60845a91,c75e615431e178544f7ba9cee605348dab0835c2446d59d0fd22dcf6c693f42f
it2_pant_short_seen_8_key1_s72015_h50,Pant_Short_Seen_8,1,72015,111,0.75,3,4,False,0.15625,1.8774945735931396,0d479acd957a06f926790eed6b772e2e8bdf1f8247e47fdf03a708d68f6268b4,3d4d59ff6bb91a43b26a0290607d062883782f4720738578b8be05958f7d13c6
it2_pant_short_seen_8_key2_s72008_h50,Pant_Short_Seen_8,2,72008,111,0.75,3,4,False,0.15625,1.8774945735931396,5b4c86d68ff9b0785a53f8c4984a341459c233890f3b5902c38694bb5adc7271,eb3d2d8cb6f28b54f19dd171fb78fa51bafaef1bd0a66dacc0be68457ddf9165
it2_pant_short_seen_8_key2_s72009_h50,Pant_Short_Seen_8,2,72009,111,0.75,3,4,False,0.15625,1.8774945735931396,ac9ac9e830d2701566b3e0519f785b42a902aab29eec64a931368c2363a7e4f6,5c878a93ba427e1a0a7d5ade77ca2f95b2d9563e5c5d38b66f7b2e95d07caef7
